code_commune,nb_parkings_publics,nb_places_total,nb_parkings_gratuits,tarif_1h_moyen,tarif_24h_moyen,abo_resident_moyen
04070,1,222,0,,,
06027,3,267,0,1.8,21.2,70.7
06088,15,5619,0,1.22,25.28,
06157,2,484,0,2.0,18.0,
17300,11,3133,0,1.1,,
33032,1,241,0,3.1,,
33039,2,598,0,2.9,8.0,43.0
33056,1,151,0,0.0,0.0,0.0
33063,59,27006,6,2.88,23.84,80.93
33069,4,826,0,2.95,12.5,46.0
33075,2,264,0,2.25,,
33162,1,492,0,4.5,,
33167,2,1008,0,1.0,8.0,50.0
33200,1,198,0,4.5,,
33249,3,954,0,2.53,,
33281,9,8932,0,5.58,53.08,45.0
33312,1,151,0,0.0,0.0,0.0
33318,5,1065,0,3.04,8.0,45.0
33522,2,914,0,2.25,15.0,30.0
33550,1,753,0,3.1,,
34057,4,724,0,,,
34090,1,60,0,,,
34120,1,80,0,,,
34123,1,180,0,,,
34129,1,50,0,,,
34172,26,18642,0,,,
34198,2,470,0,,,
34270,2,362,0,,,
38006,1,12,1,0.0,0.0,0.0
38039,1,22,1,0.0,0.0,0.0
38059,1,36,1,0.0,0.0,0.0
38061,1,150,1,,,
38084,1,10,1,0.0,0.0,0.0
38133,2,170,2,,,
38140,1,41,1,0.0,0.0,0.0
38150,1,40,1,0.0,0.0,0.0
38151,1,100,0,,,
38158,1,43,0,,,
38170,1,189,0,,,
38179,1,160,0,,,
38181,1,130,1,0.0,0.0,0.0
38185,17,6548,0,1.87,20.33,60.0
38200,1,34,1,0.0,0.0,0.0
38214,1,50,1,0.0,0.0,0.0
38229,1,36,1,0.0,0.0,0.0
38239,1,300,0,,,
38249,1,100,1,0.0,0.0,0.0
38314,1,110,1,0.0,0.0,0.0
38317,3,188,1,0.0,0.0,0.0
38331,1,77,1,0.0,0.0,0.0
38337,2,543,2,0.0,0.0,0.0
38382,3,266,0,,,
38388,1,28,1,0.0,0.0,0.0
38422,1,64,1,0.0,0.0,0.0
38431,1,12,1,0.0,0.0,0.0
38474,1,80,0,,,
38485,1,80,0,,,
38486,1,100,0,,,
38504,1,40,1,0.0,0.0,0.0
38511,1,50,1,0.0,0.0,0.0
38516,1,220,0,,,
38517,1,200,1,,,
38524,1,101,1,0.0,0.0,0.0
38545,2,91,2,0.0,0.0,0.0
38547,2,233,2,0.0,0.0,0.0
38562,1,70,1,0.0,0.0,0.0
38563,3,668,2,0.0,0.0,0.0
38565,1,120,1,,,
44009,1,49,1,0.0,0.0,0.0
44018,2,332,2,0.0,0.0,0.0
44020,4,982,1,0.45,9.0,21.22
44035,6,410,6,0.0,0.0,0.0
44047,2,125,2,0.0,0.0,0.0
44094,1,91,1,0.0,0.0,0.0
44109,51,12415,11,1.58,21.24,43.29
44114,3,476,2,0.2,4.0,9.43
44143,4,554,3,0.45,6.0,7.08
44162,7,769,4,0.26,5.14,12.13
44172,1,87,1,0.0,0.0,0.0
44190,2,142,2,0.0,0.0,0.0
44198,1,54,1,0.0,0.0,0.0
44204,3,314,3,0.0,0.0,0.0
44215,5,1242,3,0.24,4.8,11.32
49007,18,5158,0,,,
57463,15,9726,0,1.57,14.51,71.64
57480,4,634,0,0.8,4.0,65.0
57751,1,250,0,,,
59009,1,2088,1,,,
59017,1,450,1,,,
59051,1,166,1,,,
59350,21,12658,5,1.96,19.25,
59512,5,3212,0,1.5,,
59524,1,467,1,,,
59560,1,370,1,,,
59599,5,1596,2,0.8,,
60639,6,4526,0,11.2,32.08,0.0
67043,1,170,0,,4.2,
67118,1,2600,1,,,
67204,1,300,0,,4.2,
67218,1,460,0,,4.2,
67482,24,11554,0,1.88,19.97,93.71
69033,1,11,0,,,50.0
69034,2,22,0,,,55.0
69043,1,11,0,,,40.0
69046,1,11,0,,,40.0
69069,1,11,0,,,50.0
69089,1,11,0,,,95.0
69123,114,18510,0,2.44,19.67,82.48
69133,1,11,0,,,30.0
69149,1,11,0,,,60.0
69194,1,11,0,,,40.0
69202,1,11,0,,,40.0
69204,2,22,0,,,37.5
69244,1,11,0,,,58.0
69256,1,11,0,,,30.0
69259,7,77,0,,,48.29
69266,10,468,0,2.2,,66.52
69275,2,22,0,,,52.0
69276,3,33,0,,,61.67
69278,1,11,0,,,40.0
69282,1,11,0,,,40.0
69290,2,22,0,,,50.0
69299,1,1968,0,,26.0,
73065,16,3725,0,1.86,18.02,67.58
74094,1,250,1,0.0,0.0,0.0
75101,7,4407,0,4.71,41.6,190.4
75102,1,896,0,4.8,39.6,228.32
75103,1,545,0,4.8,43.2,
75104,5,2225,0,4.48,39.96,200.75
75105,8,2825,0,4.55,40.95,223.0
75106,8,2431,0,4.93,41.28,262.67
75107,10,5459,0,4.67,39.71,215.07
75108,13,11305,0,4.73,41.08,204.71
75109,3,603,0,4.0,36.0,165.0
75110,7,2353,0,4.47,35.7,122.6
75111,1,292,0,,,
75112,12,5090,0,4.0,34.44,135.75
75113,7,4208,0,3.76,33.84,138.37
75114,6,2662,0,4.2,34.38,110.0
75115,6,1734,0,4.23,39.63,174.85
75116,17,8728,0,4.57,40.36,182.75
75117,17,8606,0,4.34,38.98,168.78
75118,3,755,0,3.4,24.0,88.8
75119,3,924,0,3.65,23.1,
77144,1,722,0,1.6,7.3,
77360,2,334,0,0.85,19.45,
78400,2,500,0,2.02,21.45,38.0
83004,4,376,4,,,
86194,8,3311,0,1.83,16.43,
87085,8,3479,0,1.29,10.71,58.75
90010,10,1589,1,,,
92012,11,4626,0,,,
92022,6,295,3,,,
92040,5,1143,0,,,
92048,7,306,0,,,
92072,10,975,0,,,
92075,3,211,0,,,
92077,7,358,3,,,
94000,1,596,0,2.0,12.8,
94080,1,598,0,1.65,14.85,
94340,1,45,0,1.1,35.0,214.0
