id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;Xlong;Ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info
69123-P-009;Jean Macé - Jaboulay;69123;80 Rue Chevreul, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.8463236;45.7459556;;;3;;;24;95;95;;
69123-P-020;Université Lyon 3 - Boisard;69123;29 Rue Abbé Boisard, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.85863771;45.75084687;;;;;;;90;90;;
69123-P-005;Dauphiné - Lacassagne;69123;5 Rue Professeur Paul Sisley, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;220;96950545200017;4.8687362;45.7523382;;;;;;;105;105;;
69123-P-141;Gorge de Loup;69123;;;;;655;655;;;;;;;;;30807763500024;4.80272160800379;45.76650310992938;;;;;;;;;;Ouvert de 4h30 à 1h00 du lundi au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Fermé les dimanches et jours fériés
69123-P-140;LPA Musée des Confluences-Gerland;69123;rue Antonin Perrin, 69007, Lyon;https://parking.lpa.fr/parkings/musee-des-confluences-gerland/#informations;tous;false;150;;4;0;0;;0;8;;195;96950545200017;4.823836;45.731699;;3.4;6.8;10.2;13.6;49.4;232;232;ouvrage;
69123-P-144;Parking Gare Perrache La Confluence;69123;;;;false;649;;13;;0;;;0;;;;4.826043798644121;45.7471167972299;;;;;;;;;;
69123-P-026;Grange Blanche - Longefer;69123;50 Rue Longefer, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.879724;45.7389627;;;;;;;85;85;;
69123-P-012;Paul Santy - Beauvisage;69123;68 Avenue Paul Santy, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.87346042;45.73180815;;;;;;;80;80;;
69123-P-002;Debourg - Georges Gouy;69123;16 Rue Georges Gouy, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;155;96950545200017;4.83591654;45.73270041;;;;;;;55;55;;
69123-P-021;85 Debourg;69123;85 Avenue Debourg, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.83614823;45.73137811;;;;;;;65;65;;
69123-P-044;Halle Tony Garnier - Debourg;69123;5 Avenue Debourg, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.82704861;45.73170389;;;2;;;15;92;92;;
69123-P-023;Jean Jaurès - 169 Mérieux;69123;169 Rue Marcel Mérieux, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8296082;45.736563;;;;;;;68;68;;
69123-P-024;Jean Jaurès - 92 Yves Farge;69123;92 Boulevard Yves Farge, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8295654;45.7382294;;;;;;;90;90;;
69123-P-022;Jean Jaurès - 100  Yves Farge;69123;100 Boulevard Yves Farge, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8292579;45.7379407;;;;;;;70;70;;
69123-P-038;Jean Macé - Bons Enfants;69123;4 Rue des Bons Enfants, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.83819834;45.74365239;;;;;;;70;70;;
69123-P-013;Perrache - Seguin;69123;23 Rue Gilibert, 69002, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8228584;45.7466418;;;;;;;115;115;;
69123-P-041;Quai Joseph Gillet - Rue des Entrepôts;69123;7 Rue des Entrepôts, 69004, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.81134436;45.77582648;;;;;;;95;95;;
69123-P-039;Croix Rousse - Denfert Rochereau;69123;28 Rue Denfert Rochereau, 69004, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8249063;45.77550197;;;3;;;24;8;8;;
69123-P-040;Croix Rousse - rue de Cuire;69123;39 Rue de Cuire, 69004, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8295453;45.7782557;;;3;;;24;130;130;;
69282-P-004;Meyzieu Gare;69282;;;;;104;104;;;;;;;;;30807763500024;4.997428326174092;45.771707659705456;;;;;;;;;;Ouvert de 4h30 à 1h00 du lundi au dimanche
69123-P-046;Jean Macé - Camille Roy;69123;36 Rue Camille Roy, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.84763773;45.74522011;;;;;;;95;95;;
69123-P-047;Route de Vienne - Fonlupt;69123;11 Rue Antoine Fonlupt, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.8532545;45.7367887;;;;;;;70;70;;
69123-P-049;Debourg - 194 Marcel Mérieux;69123;194 Rue Marcel Mérieux, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.8295944;45.7322479;;;;;;;60;60;;
69123-P-048;Lafayette - Les Halles;69123;92 Cours Lafayette, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.84870628;45.76354113;;;;;;;140;140;;
69123-P-089;LPA Cordeliers;69123;18 rue Claudia, 69002, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/cordeliers/#informations;tous;false;793;;10;20;115;;7;30;;180;96950545200017;4.837211;45.764463;;3.4;6.8;10.2;13.6;52.8;232;232;ouvrage;
69123-P-106;LPA Cité Internationale P0;69123;quai Charles de Gaulle, 69006, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/cite-internationale-p0/#informations;tous;false;954;;20;0;20;;0;20;;190;96950545200017;4.8501;45.7841;;3;6;9;12;40;195;195;ouvrage;
69299-P-001;LPA Aéroport Lyon Saint Exupéry P1 ;69299;Aéroport Saint Exupéry P1, 69125, Colombier-Saugnieu;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/st-exupery-p1/#informations;tous;false;1968;;10;10;0;;0;11;;190;96950545200017;5.076918;45.719753;;;;;;64.9;;;ouvrage;
69123-P-143;Vaise 2;69123;;;;;730;730;;;;;;;;;30807763500024;4.80623992009839;45.78242071496178;;;;;;;;;;Ouvert de 4h30 à 1h du lundi au jeudi, de 4h30 à 3h le vendredi, de 12h à 3h le samedi - Fermé les dimanches et jours fériés
69244-P-001;Tassin - avenue Charles de Gaulle;69244;223B Av. Charles de Gaulle, 69160, Tassin-la-Demi-Lune;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;220;96950545200017;4.7694769;45.75323;;;;;;;73;73;;
69275-P-003;Décines - 325 avenue Jean Jaurès;69275;325 Avenue Jean Jaurès, 69150, Décines-Charpieu;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.97084495;45.77212727;;;;;;;75;75;;
69282-P-001;Meyzieu - boulevard Pierre Mendès France;69282;18 Boulevard Pierre Mendès France, 69330, Meyzieu;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.99055997;45.7620975;;;;;;;60;60;;
69123-P-072;Gorge de Loup - Pierre Audry;69123;64 Rue Pierre Audry, 69009, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.807226;45.763152;;;;;;;75;75;;
69046-P-001;Charly - place de la Mairie;69046;67 Place de la Mairie, 69390, Charly;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;250;96950545200017;4.79428974;45.64940355;;;;;;;22;22;;
69259-P-005;Vénissieux - Marcel Paul;69259;1 Avenue Marcel Paul, 69200, Vénissieux;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.88142173;45.70118235;;;;;;;80;80;;
69123-P-081;Lyon 7 - Berthelot;69123;99 Rue de Marseille, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.83645283;45.74619065;;;;;;;134;134;;
69123-P-073;128 rue Challemel-Lacour;69123;128 Rue Challemel-Lacour, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.84849613;45.72852244;;;;;;;70;70;;
69266-P-011;Villeurbanne - rue du Docteur Frappaz;69266;13 Rue Dr Frappaz, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.89159329;45.7601609;;;;;;;65;65;;
69266-P-012;Villeurbanne - rue Flachet;69266;30 Rue Flachet, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8896214;45.769046;;;;;;;80;80;;
69266-P-013;Villeurbanne - 202 avenue Roger Salengro;69266;202 Avenue Roger Salengro, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.88903219;45.78166806;;;;;;;77;77;;
69266-P-014;Villeurbanne - rue Henri;69266;5 Rue Henri, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.88213868;45.77886081;;;;;;;50;50;;
69266-P-015;Villeurbanne - rue Georges Courteline;69266;40 Rue Georges Courteline, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.8788859;45.7788999;;;;;;;45;45;;
69266-P-016;Villeurbanne - rue du Tonkin;69266;4 Rue du Tonkin, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8649024;45.7785551;;;;;;;40;40;;
69275-P-004;Décines Charpieu - rue Nansen;69275;1 Rue Nansen, 69150, Décines-Charpieu;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.9445271;45.769228;;;;;;;46;46;;
69256-P-005;Vaulx en Velin - avenue Pablo Picasso;69256;6 Rue Angela Davis, 69120, Vaulx-en-Velin;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.9190352;45.7753961;;;;;;;58;58;;
69256-P-003;Vaulx en Velin - rue du Méboud;69256;6 Rue du Méboud, 69120, Vaulx-en-Velin;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.91634602;45.77757146;;;;;;;60;60;;
69256-P-002;Vaulx en Velin La Soie - rue Maurice Moissonnier;69256;10 Rue Maurice Moissonnier, 69120, Vaulx-en-Velin;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.9241546;45.7598316;;;;;;;73;73;;
69123-P-121;Molière - Préfecture;69123;78 Rue Molière, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8432405;45.76189714;;;;;;;130;130;;
69123-P-122;Part-Dieu - Deruelle;69123;30 Bd Eugène Deruelle, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8546956;45.7628772;;;;;;2;8;8;;
69266-P-020;Villeurbanne - Saint Exupéry;69266;54 Av. Antoine de Saint-Exupéry, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;210;96950545200017;4.8816372;45.7578502;;;;;;;43;43;;
69149-P-003;Oullins - rue Tupin;69149;18 Rue Tupin, 69600, Oullins;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.8039346;45.7140832;;;;;;;80;80;;
69259-P-011;Parilly;69259;;;;;292;292;;;;;;;;;30807763500024;4.886196854976546;45.720550083210746;;;;;;;;;;Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis
69123-P-137;Part-Dieu - Britannia;69123;26 Bd Eugène Deruelle, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.8544634;45.7628523;;;;;;;140;140;;
69123-P-138;Cours Lafayette;69123;32 Rue Robert, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.84879961;45.76421404;;;;;;;135;135;;
69123-P-148;Lyon 9 - Rochecardon;69123;6 Pass. du Côteau, 69009, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.8100121;45.7881449;;;;;;;75;75;;
69266-P-023;Villeurbanne - Salengro Courteline;69266;22 Rue Georges Courteline, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.877805;45.7784164;;;;;;;40;40;;
69266-P-024;Villeurbanne - Les Poulettes;69266;33 Rue Raspail, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.8826086;45.7735308;;;;;;;50;50;;
69123-P-149;Lyon 7 - 53 Route de vienne;69123;53 Rte de Vienne, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.8511797;45.7417146;;;;;;;70;70;;
69029-P-002;Bron - Général de Gaulle;69029;231 Av. Général de Gaulle, 69500, Bron;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.9177479;45.7307818;;;;;;;30;30;;
69123-P-152;Croix-Rousse - Métro Hénon;69123;103 Rue Denfert-Rochereau, 69004, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8287682;45.7791413;;;;;;;130;130;;
69194-P-002;Saint-Didier-Au-Mont-D'or - Saint Fortuna;69194;74 Rue Victor Hugo, 69370, Saint-Didier-au-Mont-d'Or;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;;4.7967524;45.8236505;;;;;;;53;53;;
69149-P-005;LPA Arlès-Dufour;69149;27 Rue Narcisse Bertholey, 69600, Oullins;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/arles-dufour/#informations;tous;false;200;;7;0;0;;0;8;;195;96950545200017;4.80804;45.71669;;1.6;3.2;4.800000000000001;6.4;;47;66;ouvrage;
69123-P-091;LPA Marché Gare - La Confluence;69123;77 rue Delandine, 69002, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/marche-gare-confluence/ ;tous;false;843;;17;20;39;;0;7;;230;96950545200017;4.823733;45.741054;;3;6;9;12;46.6;133;199;ouvrage;
69123-P-166;Lyon 8 - 279 Avenue Berthelot;69123;279 Av. Berthelot, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;;4.8624352;45.7388736;;;;;;;65;65;;
69123-P-105;LPA Ney;69123;19 rue Ney, 69006, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/ney/#informations;abonnés;false;160;;0;0;0;;0;0;;190;96950545200017;4.855157;45.770039;;;;;;;172;172;ouvrage;
69123-P-108;LPA Parc minute Cité Internationale;69123;quai Charles de Gaulle, 69006, Lyon;;tous;false;15;;0;0;0;;0;0;;190;96950545200017;4.851647;45.784614;;;;;;612;;;enclos_en_surface;
69123-P-153;LPA Saint Antoine;69123;2 quai Saint-Antoine , 69002, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/st-antoine/#informations;tous;false;787;;11;21;200;;4;21;;205;;4.83194630928916;45.7643256376921;;3.4;6.8;10.2;13.6;52.8;133;232;enclos_en_surface;
69123-P-084;LPA Tables Claudiennes;69123;14 rue des Tables Claudiennes, 69001, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/tables-claudiennes/#informations;abonnés;false;90;;6;0;100;;0;12;;190;96950545200017;4.832605;45.770857;;;;;;;166;166;ouvrage;
69123-P-109;LPA Vendôme;69123;49 rue Vauban, 69006, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/vendome/#informations;abonnés;false;157;;5;0;0;;0;18;;190;96950545200017;4.84667;45.76525;;;;;;;179.5;179.5;ouvrage;
69123-P-161;Parc des Sports Gerland;69123;Rue Jean-Pierre Chevrot, 69007, Lyon;https://parking.lpa.fr/parkings/parking-parc-des-sports-gerland/;tous;false;270;;0;0;0;;0;0;;190;;4.829207;45.724848;;2;4;6;8;10;60;60;enclos_en_surface;
